probe_id,GSM703544,GSM703545,GSM703546,GSM703547,GSM703548,GSM703549,GSM703550,GSM703551,GSM703552,GSM703553,GSM703554,GSM703555,GSM703556,GSM703557,GSM703558,GSM703559,GSM703560,GSM703561,GSM703562,GSM703563,GSM703564,GSM703565,GSM703566,GSM703567,GSM703568,GSM703569,GSM703570,GSM703571,GSM703572,GSM703573,GSM703574,GSM703575,GSM703576,GSM703577,GSM703578,GSM703579,GSM703580,GSM703581,GSM703582,GSM703583,GSM703584,GSM703585,GSM703586,GSM703587,GSM703588,GSM703589,GSM703590,GSM703591,GSM703592,GSM703593,GSM703594,GSM703595,GSM703596,GSM703597,GSM703598,GSM703599,GSM703600,GSM703601,GSM703602,GSM703603,GSM703604,GSM703605,GSM703606,GSM703607,GSM703608,GSM703609,GSM703610,GSM703611,GSM703612,GSM703613,GSM703614,GSM703615,GSM703616,GSM703617,GSM703618,GSM703619,GSM703620,GSM703621,GSM703622,GSM703623,GSM703624,GSM703625,GSM703626,GSM703627,GSM703628,GSM703629,GSM703630,GSM703631,GSM703632,GSM703633,GSM703634,GSM703635,GSM703636,GSM703637,GSM703638,GSM703639,GSM703640,GSM703641
1007_s_at,2129.176824,2683.193181,2535.076324,2754.821145,3866.176867,4510.771379,4513.363001,2417.111755,2512.428135,2016.990544,2063.292585,3022.098921,3072.018206,2144.664428,1558.138861,1582.92294,2228.585181,1575.408929,2990.031033,1085.908951,1794.55924,1804.616631,1774.331475,2356.71619,1639.215448,3169.399065,1506.505112,1955.067674,2960.126965,2859.460472,1897.701056,4428.783882,3649.873266,4089.019609,3022.983405,3078.164443,3347.120719,2436.748382,3175.59297,2452.993895,2153.992556,2479.583653,2496.50548,1972.563969,2043.517705,1849.770905,2866.718476,1408.69539,2823.922345,2348.586687,2024.751826,2303.209456,1617.611432,2988.014771,2001.309962,1878.276715,6012.965943,4204.03538,3438.75526,3013.126362,3387.953557,2694.883871,3316.857943,2148.621222,1560.139755,2373.522717,3810.335543,5319.164707,1397.855382,1385.644304,2910.438702,1824.733189,3003.707184,2920.852771,2136.874163,1951.347275,1340.516827,4788.702712,3454.940234,3852.902408,3096.292264,3378.441862,2527.567927,3309.07718,3178.083519,3529.076059,2015.886321,3834.65214,5418.624096,1298.517321,2153.683224,2443.786523,2682.084511,2852.155698,3109.389818,1342.540998,2341.155402,1490.7149
1053_at,390.3749367,235.4740156,156.7269923,288.808359,208.0509302,306.3458722,165.0388791,185.4501846,256.6958413,482.3215432,117.7613884,192.3350216,196.3623901,348.6049283,142.3883495,205.4118008,217.0146511,135.0476546,363.2739099,172.4263347,404.570681,207.3886915,234.5514722,294.4887644,174.1289485,281.4318944,178.5325364,319.3949769,259.7284953,111.5627295,347.3992675,145.5113623,230.1799785,241.6737266,187.0257866,169.8489007,229.4467513,400.6993593,376.1747251,380.660006,267.5516509,330.6375652,159.7592107,126.5201747,260.5082376,220.7950969,244.8404156,406.6838444,285.8558189,295.5918315,213.6463238,242.8900357,195.2822415,236.1085583,221.3715042,165.7948293,195.3981379,236.4864297,307.1774045,334.2225778,404.438676,535.1031037,332.4336392,434.7119337,130.2712911,426.6668465,186.9679623,174.194768,131.3667363,128.0657033,293.4640996,204.9456807,320.8583209,165.0443402,270.3807056,378.2687633,127.9391514,305.2663433,229.2609612,246.3656851,131.9407705,208.5352916,244.834926,150.2699267,150.5791161,175.0394548,176.77405,186.0760116,139.295347,121.2148103,167.5997066,217.6050509,160.9277517,378.3364031,144.0176509,270.6806927,486.5480901,92.15117569
117_at,111.5972619,250.3429981,137.66793,115.8768426,131.7159605,118.6779984,112.9693399,113.9599451,161.0686426,90.87696572,114.702382,168.3034834,98.71065704,89.06647176,77.44691363,95.24103235,108.929837,90.29827635,204.651921,89.19399683,72.65896923,108.1367983,90.80104384,88.93373344,103.1051464,83.99176267,177.4905781,66.61755393,126.9004615,185.9571726,130.5108239,135.3927959,137.6400804,183.2658421,93.87843128,173.2336827,181.0503469,104.3116088,112.4215239,108.0398609,165.7768561,86.2540129,72.06138709,90.3075566,94.32531509,74.25617719,103.0838897,1399.014232,530.127065,72.21456104,77.17549198,95.14504908,83.08260484,79.91869008,92.0034174,79.10550148,134.0515576,173.1141013,132.1712099,128.8804279,173.5497256,154.3688657,343.3363241,129.2175167,121.863297,107.7863235,128.2393184,117.538244,218.0931915,98.14167069,91.57761965,110.2363988,95.81277662,77.03915024,108.6837375,81.07998946,68.32289584,147.5612947,120.335922,150.4588654,110.2177748,189.5692044,130.5963758,115.103439,117.1096726,131.1186128,169.2662432,133.8361779,111.8311861,93.89436208,85.52276336,89.93714354,82.58555588,80.07334563,92.49178418,79.82595263,78.34314843,84.10776475
121_at,739.5053445,880.8632536,834.76435,950.2809904,900.3850981,985.556256,848.4352988,974.4440928,745.6864571,503.3792875,903.0887291,1011.492433,601.6782083,521.4136478,628.515496,800.1134405,624.9650647,766.6402785,473.000629,611.8295176,499.5186284,529.3958394,464.6093608,502.6395478,536.3792323,401.6244323,1376.725832,473.7999501,748.6024739,751.7546867,841.5191675,1295.79221,1084.987542,885.9021284,912.9640757,1227.622969,857.6903237,432.9287708,774.6988242,879.790331,511.449591,475.4366508,521.2178311,585.7859398,410.590155,610.2046255,394.5580919,496.7909494,543.2137208,428.7553326,479.8309458,475.3468009,543.7516471,478.0670059,505.7385948,443.7910575,1189.895569,808.632949,889.744327,829.6175379,796.5538437,996.0963884,928.066213,1000.53228,820.9657866,1062.417451,867.9153568,817.8415579,473.9553847,530.5856669,620.9034979,431.6594228,464.4799309,650.9203693,542.0135508,692.1666175,659.650754,1356.775261,747.6894291,976.1270077,759.7827934,883.5578577,870.1589738,847.5490919,778.3019356,992.3437178,902.3338484,808.4661308,1088.572096,541.7786308,559.2699356,674.3635056,516.636369,425.9340481,621.9334444,434.8996525,761.5809984,615.7804012
1255_g_at,35.07439882,32.96226708,36.4899028,35.89273775,32.23954925,34.22578814,32.74277149,30.99824712,33.95073702,32.5204582,37.83059108,32.28315059,61.87734656,29.85663378,29.82368615,35.09279332,31.56314458,32.47174302,29.60735892,30.61673275,31.03287833,33.92483565,25.4961386,30.39704176,34.08680567,35.71779316,38.25714075,35.76341686,34.55156153,35.71785387,36.22269621,40.19075526,34.53068145,39.09111391,34.22996048,41.19164926,43.19932846,29.81751154,35.29840179,38.1806203,47.78698686,31.57530672,31.06865091,31.13548146,30.41140784,28.92271624,30.39134532,30.2101016,32.77917944,40.55940968,32.24117781,32.82156938,31.77060751,36.00184245,28.79442409,32.26529598,34.92032206,36.61287727,34.56492609,33.21893808,40.228092,33.6259034,32.01494606,31.65449792,34.24112407,31.28879905,35.65834365,32.5277519,32.97907514,29.27205496,27.02683134,27.84571081,30.20364582,31.17703362,29.85088265,33.03288106,30.57749341,34.53048963,37.52480807,33.43774605,37.47035996,37.73407337,33.72809292,32.4895943,33.1072578,44.96580541,31.96870784,32.94926657,43.43746636,26.91801799,33.09739439,29.03206946,27.83834927,29.88465902,31.79466791,35.69815205,33.02544178,31.38831231
1294_at,1102.285176,832.0009916,464.2487441,771.6880101,1156.695456,742.9169078,1204.357076,1026.650078,785.5043187,1539.322936,635.3442624,616.530336,522.3745326,1499.4978,1555.403669,1674.381287,1822.375477,932.8679964,1301.447097,1385.579933,1855.097466,1478.412211,1282.374899,1771.786809,1153.098995,1129.572734,596.1294879,793.9742158,472.1310018,827.390439,819.1247239,1146.386147,1363.97623,688.8902857,1316.10718,1551.495908,1168.91491,1758.39978,1233.28517,1454.207353,902.610237,1509.946891,1252.974839,2439.821645,1348.684583,1170.955805,1501.392657,698.1304729,2263.955692,1970.269471,1863.823403,1755.967777,1029.368121,2511.928671,2261.840205,915.1494725,1793.338235,1267.101568,1669.193947,1291.255278,883.4531989,876.5842692,808.6455688,1215.266338,741.0662719,1468.647621,1032.468379,1523.343802,1373.337444,1868.757926,2332.295008,1481.120327,1717.296576,1763.726749,1031.622221,1422.704436,1361.799272,1493.981063,1040.594306,1899.996573,812.6362389,535.8327274,705.5220854,854.2307161,739.5948802,792.0036581,1025.015844,1165.441144,802.5939389,1439.605917,1570.957452,2259.599735,2916.399412,1845.57096,1246.289336,713.337029,1406.897003,1278.854032
1316_at,175.0415034,204.8704668,150.9469526,170.3212887,164.5585955,171.664325,159.7196053,185.6659894,154.2608298,140.2108365,181.1349189,159.8756397,146.8510771,123.7059236,139.5367545,143.4921209,142.3571922,150.1676788,125.3997962,158.535496,126.8124132,156.470972,131.4587759,140.1345286,162.4582026,138.4974165,250.2538601,142.9155471,164.9053903,159.4509697,157.5426245,213.0364665,180.9062974,201.7868267,176.2004149,209.1482147,173.5256594,126.5730305,158.5899967,176.9650211,117.0996553,128.2347942,130.0874801,145.8328703,120.7957572,131.8069489,116.7805163,130.2659875,140.2897439,131.50245,120.9834058,132.5617855,133.5941285,142.8185656,134.9739761,124.8272947,216.4420404,177.1409077,175.8899121,183.1605091,168.5628915,195.4232263,193.8200199,196.6631327,178.3883691,170.3731657,209.1985229,206.9441336,122.4320409,139.2504431,128.5132913,125.9645556,137.5526705,130.2418316,130.7962009,132.7618985,141.9317489,267.989118,210.4356118,183.169053,184.3328351,165.4526879,160.0272596,151.603928,179.5373818,178.8376586,174.6659614,209.615449,193.8806326,137.1935393,131.8144469,141.1326279,145.5743094,145.0602335,127.3895433,122.5253799,116.8755473,146.4317776
1320_at,65.48629106,61.45918754,74.05120748,67.11134275,66.18066203,73.3606234,59.73562483,71.73777142,69.05730556,66.64414319,63.30506388,60.47869093,66.35300518,53.5442515,51.03339985,57.18231443,56.65565871,57.87934163,57.3640863,63.65723152,56.20557676,50.91168286,51.93384021,49.02314133,58.29738922,52.38202221,69.3150607,62.05759514,63.99017529,68.68888882,84.89560715,74.82156974,64.97637045,66.37804462,62.57256319,84.51325585,64.08537319,50.96824925,65.59263777,61.53849952,66.96372671,47.68357224,49.95940563,50.82645868,71.17227612,48.65166345,41.45069858,64.54356906,55.09973615,66.79632799,47.16504408,53.93471709,54.60269448,51.39275026,56.95382049,45.46399712,70.65198142,73.59210894,66.9847356,64.73939649,67.32959679,77.22008029,62.76772073,59.40685443,57.99422997,62.22986553,64.46238287,65.62921912,49.67698353,50.21726279,52.25962206,47.59559018,44.8095618,48.11101867,45.66239324,54.03917183,56.16417188,98.37365817,84.1028161,65.90612689,68.50904513,67.349267,85.71054804,68.04750103,81.04518898,69.83684231,70.83662781,70.25341548,69.28474739,45.25525626,57.74348193,54.97298381,48.49274223,46.81594892,57.15072451,54.66844142,56.7950223,54.12556993
1405_i_at,90.88801338,566.9536248,537.8286285,101.6027124,598.7918863,57.02092386,1414.600579,229.8488819,164.6224831,370.1942051,499.5572058,1163.706066,147.799988,636.7834132,208.7308882,463.8404758,1387.775812,204.0279027,484.7257884,196.4344476,546.9501355,624.9832304,805.9696191,117.2636621,353.245865,323.8180487,149.1412583,939.7220825,793.5690292,271.5318832,269.3933845,59.27902482,153.4296699,160.1254461,281.0155728,52.28961465,146.9861844,331.8958621,93.62615417,124.2816863,320.5021791,587.5830319,291.2764307,993.2175729,587.5040701,314.6947915,552.2756443,287.7196118,919.6840881,292.6946892,562.5330726,540.1334286,487.7896851,341.1117444,699.2839648,822.1704172,449.6330518,252.3691018,210.1722758,254.7316537,183.478651,541.465622,484.0535133,135.4097397,6298.082292,169.5638313,244.7100738,79.91014546,283.5176661,907.579605,385.3070363,1202.802327,909.1505716,66.34954479,823.3375929,44.45304184,206.7464294,53.14637592,140.8909665,177.6403301,214.9845082,408.8436206,1499.667637,314.2585016,416.5592019,236.712848,788.2686104,101.0991962,138.5851641,145.0019032,826.6456505,1432.16194,1074.27148,672.9673072,2144.088858,495.0856012,230.6149641,290.0804844
1431_at,60.65592062,55.8482348,60.0818811,58.57803293,59.4018524,56.03632176,58.4155857,80.6866221,58.75401431,51.34671506,57.97372275,56.17071547,60.41644703,73.52680915,50.65677068,60.83677676,55.25811293,47.63074237,63.69809242,132.2040823,63.10683257,57.90346324,64.73936024,50.321889,64.54587328,79.83198259,56.14539811,40.72546188,59.29057489,56.7079038,64.40850643,56.10721728,55.2858549,59.19731284,63.51919571,84.02281904,64.70947777,48.15128817,52.17077462,66.04369278,65.70054252,64.66112037,61.40254755,54.92981667,49.08663991,73.17604409,54.95661366,51.23431445,64.1346675,61.91450056,57.74389687,62.10727059,66.44659595,55.46108525,55.2842859,41.50198093,68.93333081,62.61277517,83.48748964,64.87296554,56.52798672,56.98653318,54.89743143,72.5809817,68.5798796,60.34619705,52.87129746,80.81335249,72.25401045,67.85358378,94.45374463,68.70697397,55.95682375,103.7252755,50.20301092,96.57821652,47.26195782,72.36645524,56.06185659,66.49390013,66.83644817,58.37527668,58.78384013,59.77141665,60.01997755,61.21153891,62.5591962,56.23364667,61.78297908,59.09114333,62.08302316,90.64470874,55.69649335,42.26290785,94.80007964,50.84540257,92.33574979,51.03572597
