probe_id,GSM461011,GSM461012,GSM461016,GSM461020,GSM461021,GSM461024,GSM461025,GSM461030,GSM461038,GSM461044,GSM461046,GSM461047,GSM461048,GSM461051,GSM461052,GSM461053,GSM461057,GSM461061,GSM461062,GSM461065,GSM461066,GSM461071,GSM461079,GSM461085,GSM461087,GSM461088,GSM461089,GSM461092
1007_s_at,135.91,100.77,148.08,229.53,82.11,62.82,117.94,197.02,161.43,205.33,197.62,218.37,177.6,189.46,125.91,135.67,97.19,177.39,99.1,116.24,110.44,174.16,148.73,114.92,182.42,176.49,142.7,148.74
1053_at,213.76,132.21,253.66,257.04,386.71,204.53,366.33,155.87,317.53,573.49,360.61,532.21,370.92,335.43,406.82,95.1,491.0,623.48,224.24,499.41,191.7,723.95,279.89,316.96,393.96,289.54,414.29,553.03
117_at,45.99,49.47,58.09,68.94,48.74,68.61,55.66,36.59,48.71,39.23,39.39,40.21,52.88,60.94,59.32,46.93,48.56,38.89,55.92,40.41,58.05,37.8,45.06,35.95,36.54,44.55,95.31,36.53
121_at,195.55,220.27,196.28,268.77,238.13,220.11,177.68,163.08,255.91,290.61,262.1,265.97,246.29,295.55,184.57,240.5,211.71,289.47,244.81,209.46,216.42,207.42,293.17,238.66,250.57,271.45,232.57,234.05
1255_g_at,13.92,13.61,17.5,13.22,14.68,14.14,13.75,11.9,15.17,11.76,15.88,12.64,16.91,14.77,14.02,15.93,13.58,13.8,13.51,14.74,17.98,14.27,12.1,14.12,14.12,13.27,13.5,12.69
1294_at,330.44,486.9,216.17,141.39,160.38,172.3,188.88,315.66,342.32,309.25,250.74,464.44,345.78,273.83,372.56,343.89,284.85,358.93,286.96,272.5,219.62,235.52,328.49,455.62,271.65,512.09,244.55,235.81
1316_at,52.06,69.31,58.14,115.97,57.29,64.96,59.37,60.33,68.15,50.67,89.18,64.92,49.22,71.69,58.54,74.06,74.3,48.92,66.38,56.33,68.86,48.56,54.65,56.51,82.08,87.63,48.3,66.18
1320_at,48.89,51.21,48.25,46.57,38.2,63.31,37.71,32.12,38.88,33.74,34.22,33.73,44.21,47.81,49.14,46.43,39.75,44.23,52.87,49.99,34.71,35.75,39.67,38.12,39.61,37.4,34.66,37.43
1405_i_at,28.28,229.1,30.66,29.19,22.23,25.14,87.99,44.88,249.31,35.73,49.12,23.05,175.43,89.37,36.29,55.44,60.05,78.04,22.67,23.06,158.6,63.93,109.6,110.65,56.72,71.8,27.19,80.62
1431_at,26.01,28.44,39.12,21.45,27.18,38.88,26.53,27.91,56.13,81.37,26.27,65.34,25.33,21.91,32.55,36.5,37.3,23.05,48.32,87.33,23.86,23.64,67.09,75.07,24.67,40.63,28.09,22.3
