probe_id	gene_symbol	gene_id	gene_title	mapping_status
1007_s_at	MIR4640///DDR1	100616237///780	microRNA 4640///discoidin domain receptor tyrosine kinase 1	multiple_symbols
1053_at	RFC2	5982	replication factor C subunit 2	single_symbol
117_at	HSPA6	3310	heat shock protein family A (Hsp70) member 6	single_symbol
121_at	PAX8	7849	paired box 8	single_symbol
1255_g_at	GUCA1A	2978	guanylate cyclase activator 1A	single_symbol
1294_at	MIR5193///UBA7	100847079///7318	microRNA 5193///ubiquitin like modifier activating enzyme 7	multiple_symbols
1316_at	THRA	7067	thyroid hormone receptor, alpha	single_symbol
1320_at	PTPN21	11099	protein tyrosine phosphatase, non-receptor type 21	single_symbol
1405_i_at	CCL5	6352	C-C motif chemokine ligand 5	single_symbol
1431_at	CYP2E1	1571	cytochrome P450 family 2 subfamily E member 1	single_symbol
1438_at	EPHB3	2049	EPH receptor B3	single_symbol
1487_at	ESRRA	2101	estrogen related receptor alpha	single_symbol
1494_f_at	CYP2A6	1548	cytochrome P450 family 2 subfamily A member 6	single_symbol
1552256_a_at	SCARB1	949	scavenger receptor class B member 1	single_symbol
1552257_a_at	TTLL12	23170	tubulin tyrosine ligase like 12	single_symbol
1552258_at	LOC101930489///LINC00152	101930489///112597	uncharacterized LOC101930489///long intergenic non-protein coding RNA 152	multiple_symbols
1552261_at	WFDC2	10406	WAP four-disulfide core domain 2	single_symbol
1552263_at	MAPK1	5594	mitogen-activated protein kinase 1	single_symbol
1552264_a_at	MAPK1	5594	mitogen-activated protein kinase 1	single_symbol
1552266_at	ADAM32	203102	ADAM metallopeptidase domain 32	single_symbol
1552269_at	SPATA17	128153	spermatogenesis associated 17	single_symbol
1552271_at	PRR22	163154	proline rich 22	single_symbol
1552272_a_at	PRR22	163154	proline rich 22	single_symbol
1552274_at	PXK	54899	PX domain containing serine/threonine kinase like	single_symbol
1552275_s_at	PXK	54899	PX domain containing serine/threonine kinase like	single_symbol
1552276_a_at	VPS18	57617	VPS18, CORVET/HOPS core subunit	single_symbol
1552277_a_at	MSANTD3	91283	Myb/SANT DNA binding domain containing 3	single_symbol
1552278_a_at	SLC46A1	113235	solute carrier family 46 member 1	single_symbol
1552279_a_at	SLC46A1	113235	solute carrier family 46 member 1	single_symbol
1552280_at	TIMD4	91937	T-cell immunoglobulin and mucin domain containing 4	single_symbol
1552281_at	SLC39A5	283375	solute carrier family 39 member 5	single_symbol
1552283_s_at	ZDHHC11B///ZDHHC11	653082///79844	zinc finger DHHC-type containing 11B///zinc finger DHHC-type containing 11	multiple_symbols
1552286_at	ATP6V1E2	90423	ATPase H+ transporting V1 subunit E2	single_symbol
1552287_s_at	AFG3L1P	172	AFG3 like matrix AAA peptidase subunit 1, pseudogene	single_symbol
1552288_at	CILP2	148113	cartilage intermediate layer protein 2	single_symbol
1552289_a_at	CILP2	148113	cartilage intermediate layer protein 2	single_symbol
1552291_at	PIGX	54965	phosphatidylinositol glycan anchor biosynthesis class X	single_symbol
1552293_at	TMEM196	256130	transmembrane protein 196	single_symbol
1552295_a_at	SLC39A13	91252	solute carrier family 39 member 13	single_symbol
1552296_at	BEST4	266675	bestrophin 4	single_symbol
1552299_at	AK9	221264	adenylate kinase 9	single_symbol
1552301_a_at	CORO6	84940	coronin 6	single_symbol
1552302_at	TMEM106A	113277	transmembrane protein 106A	single_symbol
1552303_a_at	TMEM106A	113277	transmembrane protein 106A	single_symbol
1552304_at	ALG10	84920	ALG10, alpha-1,2-glucosyltransferase	single_symbol
1552306_at	ALG10	84920	ALG10, alpha-1,2-glucosyltransferase	single_symbol
1552307_a_at	TTC39C	125488	tetratricopeptide repeat domain 39C	single_symbol
1552309_a_at	NEXN	91624	nexilin F-actin binding protein	single_symbol
1552310_at	C15orf40	123207	chromosome 15 open reading frame 40	single_symbol
1552311_a_at	RAX2	84839	retina and anterior neural fold homeobox 2	single_symbol
1552312_a_at	MFAP3	4238	microfibrillar associated protein 3	single_symbol
1552314_a_at	EYA3	2140	EYA transcriptional coactivator and phosphatase 3	single_symbol
1552315_at	GIMAP1	170575	GTPase, IMAP family member 1	single_symbol
1552316_a_at	GIMAP1	170575	GTPase, IMAP family member 1	single_symbol
1552318_at	GIMAP1	170575	GTPase, IMAP family member 1	single_symbol
1552319_a_at	KLK8	11202	kallikrein related peptidase 8	single_symbol
1552320_a_at	CCDC65	85478	coiled-coil domain containing 65	single_symbol
1552321_a_at	CCDC65	85478	coiled-coil domain containing 65	single_symbol
1552322_at	FAM122C	159091	family with sequence similarity 122C	single_symbol
1552323_s_at	FAM122C	159091	family with sequence similarity 122C	single_symbol
1552325_at	CFAP53	220136	cilia and flagella associated protein 53	single_symbol
1552326_a_at	CFAP53	220136	cilia and flagella associated protein 53	single_symbol
1552327_at	ARMCX4	100131755	armadillo repeat containing, X-linked 4	single_symbol
1552329_at	RBBP6	5930	RB binding protein 6, ubiquitin ligase	single_symbol
1552330_at	CENPBD1	92806	CENPB DNA-binding domain containing 1	single_symbol
1552332_at	TRIOBP	11078	TRIO and F-actin binding protein	single_symbol
1552334_at	TRIOBP	11078	TRIO and F-actin binding protein	single_symbol
1552335_at	CATSPER1	117144	cation channel sperm associated 1	single_symbol
1552337_s_at	HOXD4	3233	homeobox D4	single_symbol
1552338_at	GSC	145258	goosecoid homeobox	single_symbol
1552340_at	SP7	121340	Sp7 transcription factor	single_symbol
1552343_s_at	PDE7A	5150	phosphodiesterase 7A	single_symbol
1552344_s_at	CNOT7	29883	CCR4-NOT transcription complex subunit 7	single_symbol
1552347_at	CRYZL1	9946	crystallin zeta like 1	single_symbol
1552348_at	PRSS33	260429	protease, serine 33	single_symbol
1552349_a_at	PRSS33	260429	protease, serine 33	single_symbol
1552354_at	CBARP	255057	CACN beta subunit associated regulatory protein	single_symbol
1552355_s_at	CBARP	255057	CACN beta subunit associated regulatory protein	single_symbol
1552359_at	MCMDC2	157777	minichromosome maintenance domain containing 2	single_symbol
1552360_a_at	TIRAP	114609	TIR domain containing adaptor protein	single_symbol
1552362_a_at	LEAP2	116842	liver enriched antimicrobial peptide 2	single_symbol
1552364_s_at	MSI2	124540	musashi RNA binding protein 2	single_symbol
1552365_at	SCIN	85477	scinderin	single_symbol
1552367_a_at	SCIN	85477	scinderin	single_symbol
1552368_at	CTCFL	140690	CCCTC-binding factor like	single_symbol
1552370_at	C4orf33	132321	chromosome 4 open reading frame 33	single_symbol
1552372_at	C4orf33	132321	chromosome 4 open reading frame 33	single_symbol
1552373_s_at	C4orf33	132321	chromosome 4 open reading frame 33	single_symbol
1552375_at	ZNF333	84449	zinc finger protein 333	single_symbol
1552377_s_at	TVP23C	201158	trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)	single_symbol
1552378_s_at	RDH10	157506	retinol dehydrogenase 10 (all-trans)	single_symbol
1552379_at	RDH10	157506	retinol dehydrogenase 10 (all-trans)	single_symbol
1552381_at	SRSF12	135295	serine and arginine rich splicing factor 12	single_symbol
1552383_at	FAM71A	149647	family with sequence similarity 71 member A	single_symbol
1552384_a_at	FAM71A	149647	family with sequence similarity 71 member A	single_symbol
1552386_at	GAPT	202309	GRB2-binding adaptor protein, transmembrane	single_symbol
1552388_at	FLJ30901///SCUBE1	150378///80274	uncharacterized protein FLJ30901///signal peptide, CUB domain and EGF like domain containing 1	multiple_symbols
1552389_at	ERICH5	203111	glutamate rich 5	single_symbol
1552390_a_at	ERICH5	203111	glutamate rich 5	single_symbol
1552391_at	CCDC185	164127	coiled-coil domain containing 185	single_symbol
1552393_at	ENTHD1	150350	ENTH domain containing 1	single_symbol
1552394_a_at	ENTHD1	150350	ENTH domain containing 1	single_symbol
1552395_at	TSSK3	81629	testis specific serine kinase 3	single_symbol
1552396_at	WFDC6	140870	WAP four-disulfide core domain 6	single_symbol
1552398_a_at	CLEC12A	160364	C-type lectin domain family 12 member A	single_symbol
1552399_a_at	BRF1	2972	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	single_symbol
1552400_a_at	TMEM266	123591	transmembrane protein 266	single_symbol
1552401_a_at	GRIK1-AS2///BACH1	100379661///571	GRIK1 antisense RNA 2///BTB domain and CNC homolog 1	multiple_symbols
1552402_at	CALML6	163688	calmodulin like 6	single_symbol
1552405_at	NLRP5	126206	NLR family pyrin domain containing 5	single_symbol
1552408_at	ODF4	146852	outer dense fiber of sperm tails 4	single_symbol
1552409_a_at	ODF4	146852	outer dense fiber of sperm tails 4	single_symbol
1552410_at	CLEC4F	165530	C-type lectin domain family 4 member F	single_symbol
1552411_at	DEFB106B///DEFB106A	503841///245909	defensin beta 106B///defensin beta 106A	multiple_symbols
1552412_a_at	DEFB106B///DEFB106A	503841///245909	defensin beta 106B///defensin beta 106A	multiple_symbols
1552414_at	WFDC9	259240	WAP four-disulfide core domain 9	single_symbol
1552415_a_at	WFDC9	259240	WAP four-disulfide core domain 9	single_symbol
1552417_a_at	NEDD1	121441	neural precursor cell expressed, developmentally down-regulated 1	single_symbol
1552418_at	TTLL10	254173	tubulin tyrosine ligase like 10	single_symbol
1552419_s_at	TTLL10	254173	tubulin tyrosine ligase like 10	single_symbol
1552421_a_at	CALR3	125972	calreticulin 3	single_symbol
1552422_at	C10orf25	220979	chromosome 10 open reading frame 25	single_symbol
1552423_at	ETV3	2117	ETS variant 3	single_symbol
1552424_at	KLHL10	317719	kelch like family member 10	single_symbol
1552425_a_at	KLHL10	317719	kelch like family member 10	single_symbol
1552426_a_at	TM2D3	80213	TM2 domain containing 3	single_symbol
1552427_at	ZNF485	220992	zinc finger protein 485	single_symbol
1552430_at	WDR17	116966	WD repeat domain 17	single_symbol
1552432_at	MFSD6L	162387	major facilitator superfamily domain containing 6 like	single_symbol
1552436_a_at	LOC100653137///CDH23	100653137///64072	cadherin-23-like///cadherin-related 23	multiple_symbols
1552438_a_at	ANKAR	150709	ankyrin and armadillo repeat containing	single_symbol
1552439_s_at	MEGF11	84465	multiple EGF like domains 11	single_symbol
1552440_at	GPR182	11318	G protein-coupled receptor 182	single_symbol
1552445_a_at	ESX1	80712	ESX homeobox 1	single_symbol
1552448_a_at	FAM167A-AS1	83656	FAM167A antisense RNA 1	single_symbol
1552449_a_at	SCGB1C2///SCGB1C1	653486///147199	secretoglobin family 1C member 2///secretoglobin family 1C member 1	multiple_symbols
1552450_a_at	DNAJC5G	285126	DnaJ heat shock protein family (Hsp40) member C5 gamma	single_symbol
1552452_at	WDR88	126248	WD repeat domain 88	single_symbol
1552453_a_at	WDR88	126248	WD repeat domain 88	single_symbol
1552455_at	PRUNE2	158471	prune homolog 2	single_symbol
1552456_a_at	MBD3L2	125997	methyl-CpG binding domain protein 3 like 2	single_symbol
1552457_a_at	ADAMTSL1	92949	ADAMTS like 1	single_symbol
1552458_at	MBD3L1	85509	methyl-CpG binding domain protein 3 like 1	single_symbol
1552459_a_at	MBD3L1	85509	methyl-CpG binding domain protein 3 like 1	single_symbol
1552461_at	FAM46D	169966	family with sequence similarity 46 member D	single_symbol
1552463_at	SERPINB11	89778	serpin family B member 11 (gene/pseudogene)	single_symbol
1552466_x_at	LINC00161	118421	long intergenic non-protein coding RNA 161	single_symbol
1552467_at	DSCR10	259234	Down syndrome critical region 10 (non-protein coding)	single_symbol
1552468_a_at	DSCR10	259234	Down syndrome critical region 10 (non-protein coding)	single_symbol
1552470_a_at	ABHD11	83451	abhydrolase domain containing 11	single_symbol
1552472_a_at	ACAP2	23527	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	single_symbol
1552473_at	GAMT	2593	guanidinoacetate N-methyltransferase	single_symbol
1552474_a_at	GAMT	2593	guanidinoacetate N-methyltransferase	single_symbol
1552476_s_at	PLCD3	113026	phospholipase C delta 3	single_symbol
1552477_a_at	IRF6	3664	interferon regulatory factor 6	single_symbol
1552478_a_at	IRF6	3664	interferon regulatory factor 6	single_symbol
1552480_s_at	PTPRC	5788	protein tyrosine phosphatase, receptor type C	single_symbol
1552481_s_at	MAN1A2	10905	mannosidase alpha class 1A member 2	single_symbol
1552482_at	RAPH1	65059	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	single_symbol
1552484_at	SMCR8	140775	Smith-Magenis syndrome chromosome region, candidate 8	single_symbol
1552485_at	LACTB	114294	lactamase beta	single_symbol
1552486_s_at	LACTB	114294	lactamase beta	single_symbol
1552487_a_at	BNC1	646	basonuclin 1	single_symbol
1552489_s_at	MPP4	58538	membrane palmitoylated protein 4	single_symbol
1552490_at	LACE1	246269	lactation elevated 1	single_symbol
1552491_at	IDI2	91734	isopentenyl-diphosphate delta isomerase 2	single_symbol
1552493_s_at	CYP11B1	1584	cytochrome P450 family 11 subfamily B member 1	single_symbol
1552494_at	TAF8	129685	TATA-box binding protein associated factor 8	single_symbol
1552496_a_at	COBL	23242	cordon-bleu WH2 repeat protein	single_symbol
1552497_a_at	SLAMF6	114836	SLAM family member 6	single_symbol
1552498_at	ZSCAN20	7579	zinc finger and SCAN domain containing 20	single_symbol
1552499_a_at	ZSCAN20	7579	zinc finger and SCAN domain containing 20	single_symbol
1552501_a_at	GPBAR1	151306	G protein-coupled bile acid receptor 1	single_symbol
1552502_s_at	RHBDL2	54933	rhomboid like 2	single_symbol
1552503_at	FRAS1	80144	Fraser extracellular matrix complex subunit 1	single_symbol
1552504_a_at	BRSK1	84446	BR serine/threonine kinase 1	single_symbol
1552506_at	CRB2	286204	crumbs 2, cell polarity complex component	single_symbol
1552507_at	KCNE4	23704	potassium voltage-gated channel subfamily E regulatory subunit 4	single_symbol
1552508_at	KCNE4	23704	potassium voltage-gated channel subfamily E regulatory subunit 4	single_symbol
1552509_a_at	CD300LG	146894	CD300 molecule like family member g	single_symbol
1552510_at	SLC34A3	142680	solute carrier family 34 member 3	single_symbol
1552511_a_at	CPA6	57094	carboxypeptidase A6	single_symbol
1552514_at	WBP2NL	164684	WBP2 N-terminal like	single_symbol
1552515_at	HIPK1	204851	homeodomain interacting protein kinase 1	single_symbol
1552516_a_at	HIPK1	204851	homeodomain interacting protein kinase 1	single_symbol
1552518_s_at	MTBP	27085	MDM2 binding protein	single_symbol
1552519_at	ACVR1C	130399	activin A receptor type 1C	single_symbol
1552520_at	TMEM74	157753	transmembrane protein 74	single_symbol
1552521_a_at	TMEM74	157753	transmembrane protein 74	single_symbol
1552522_at	TIGD4	201798	tigger transposable element derived 4	single_symbol
1552523_a_at	TIGD4	201798	tigger transposable element derived 4	single_symbol
1552524_at	ART5	116969	ADP-ribosyltransferase 5	single_symbol
1552526_at	FAM71C	196472	family with sequence similarity 71 member C	single_symbol
1552528_at	LINC01547	84536	long intergenic non-protein coding RNA 1547	single_symbol
1552531_a_at	NLRP11	204801	NLR family pyrin domain containing 11	single_symbol
1552532_a_at	ATP6V1C2	245973	ATPase H+ transporting V1 subunit C2	single_symbol
1552535_at	CLDN19	149461	claudin 19	single_symbol
1552536_at	VTI1A	143187	vesicle transport through interaction with t-SNAREs 1A	single_symbol
1552538_a_at	KIF6	221458	kinesin family member 6	single_symbol
1552540_s_at	IQCD	115811	IQ motif containing D	single_symbol
1552541_at	TAGAP	117289	T-cell activation RhoGTPase activating protein	single_symbol
1552542_s_at	TAGAP	117289	T-cell activation RhoGTPase activating protein	single_symbol
1552543_a_at	STON2	85439	stonin 2	single_symbol
1552544_at	SERPINA12	145264	serpin family A member 12	single_symbol
1552546_a_at	LETM2	137994	leucine zipper and EF-hand containing transmembrane protein 2	single_symbol
1552548_at	BSND	7809	barttin CLCNK type accessory beta subunit	single_symbol
1552549_a_at	BSND	7809	barttin CLCNK type accessory beta subunit	single_symbol
1552552_s_at	CLEC4C	170482	C-type lectin domain family 4 member C	single_symbol
1552553_a_at	NLRC4	58484	NLR family CARD domain containing 4	single_symbol
1552554_a_at	NLRC4	58484	NLR family CARD domain containing 4	single_symbol
1552555_at	PRSS36	146547	protease, serine 36	single_symbol
1552557_a_at	ZDHHC15	158866	zinc finger DHHC-type containing 15	single_symbol
1552558_a_at	RAI1	10743	retinoic acid induced 1	single_symbol
1552559_a_at	CDK15	65061	cyclin dependent kinase 15	single_symbol
1552562_at	ZNF570	148268	zinc finger protein 570	single_symbol
1552563_a_at				missing
1552564_at	NUDT9P1	119369	nudix hydrolase 9 pseudogene 1	single_symbol
1552566_at	BTBD16	118663	BTB domain containing 16	single_symbol
1552568_at	RTP3	83597	receptor transporter protein 3	single_symbol
1552569_a_at	RTP3	83597	receptor transporter protein 3	single_symbol
1552570_at	TSPEAR	54084	thrombospondin type laminin G domain and EAR repeats	single_symbol
1552572_a_at	MIPOL1	145282	mirror-image polydactyly 1	single_symbol
1552573_s_at	MIPOL1	145282	mirror-image polydactyly 1	single_symbol
1552575_a_at	C6orf141	135398	chromosome 6 open reading frame 141	single_symbol
1552576_at	ALMS1P1	200420	ALMS1, centrosome and basal body associated protein pseudogene 1	single_symbol
1552578_a_at	MYO3B	140469	myosin IIIB	single_symbol
1552579_a_at	ADAM21	8747	ADAM metallopeptidase domain 21	single_symbol
1552580_at	TRIML2	205860	tripartite motif family like 2	single_symbol
1552582_at	ABCC13	150000	ATP binding cassette subfamily C member 13 (pseudogene)	single_symbol
1552583_s_at	ABCC13	150000	ATP binding cassette subfamily C member 13 (pseudogene)	single_symbol
1552584_at	IL12RB1	3594	interleukin 12 receptor subunit beta 1	single_symbol
1552585_s_at	GTF2A1L	11036	general transcription factor IIA subunit 1 like	single_symbol
1552586_at	TRPV3	162514	transient receptor potential cation channel subfamily V member 3	single_symbol
1552587_at	CNBD1	168975	cyclic nucleotide binding domain containing 1	single_symbol
1552588_a_at	CNBD1	168975	cyclic nucleotide binding domain containing 1	single_symbol
1552590_a_at	ABCC12	94160	ATP binding cassette subfamily C member 12	single_symbol
1552592_at	MMP21	118856	matrix metallopeptidase 21	single_symbol
1552594_at	TMEM190	147744	transmembrane protein 190	single_symbol
1552596_at	GAS2L2	246176	growth arrest specific 2 like 2	single_symbol
1552598_at	KCNG4	93107	potassium voltage-gated channel modifier subfamily G member 4	single_symbol
1552599_at	PXT1	222659	peroxisomal, testis specific 1	single_symbol
1552602_at	CACNG5	27091	calcium voltage-gated channel auxiliary subunit gamma 5	single_symbol
1552604_at	LINC00308	54143	long intergenic non-protein coding RNA 308	single_symbol
1552605_s_at	LINC00308	54143	long intergenic non-protein coding RNA 308	single_symbol
1552607_at	FAM223A///FAM223B	100132967///286967	family with sequence similarity 223 member A (non-protein coding)///family with sequence similarity 223 member B (non-protein coding)	multiple_symbols
1552608_at	WFDC11	259239	WAP four-disulfide core domain 11	single_symbol
1552609_s_at	IFNL3///IFNL2	282617///282616	interferon lambda 3///interferon lambda 2	multiple_symbols
1552610_a_at	JAK1	3716	Janus kinase 1	single_symbol
1552611_a_at	JAK1	3716	Janus kinase 1	single_symbol
1552612_at	CDC42SE2	56990	CDC42 small effector 2	single_symbol
1552613_s_at	CDC42SE2	56990	CDC42 small effector 2	single_symbol
1552615_at	ACACB	32	acetyl-CoA carboxylase beta	single_symbol
1552616_a_at	ACACB	32	acetyl-CoA carboxylase beta	single_symbol
1552617_a_at	RFWD2	64326	ring finger and WD repeat domain 2	single_symbol
